iter	Passed	Remaining
236	24904	80177
237	25000	80044
238	25069	79823
239	25136	79597
240	25254	79535
241	25353	79414
242	25447	79274
243	25543	79141
244	25685	79152
245	25955	79553
246	26206	79892
247	26386	80011
248	26620	80287
249	26807	80421
250	26906	80291
251	27003	80152
252	27155	80177
253	27271	80096
254	27382	79999
255	27482	79870
256	27557	79669
257	27727	79744
258	27884	79778
259	28087	79939
260	28314	80170
261	28535	80378
262	28734	80521
263	28844	80414
264	28940	80270
265	29067	80208
266	29265	80342
267	29359	80191
268	29458	80052
269	29559	79921
270	29701	79897
271	29830	79840
272	29913	79659
273	29967	79403
274	30020	79145
275	30152	79095
276	30277	79027
277	30365	78862
278	30472	78748
279	30685	78905
280	30858	78958
281	30989	78902
282	31134	78880
283	31305	78924
284	31476	78967
285	31772	79319
286	31874	79187
287	31984	79073
288	32184	79179
289	32340	79179
290	32425	79001
291	32552	78928
292	32643	78767
293	32795	78754
294	32987	78833
295	33079	78675
296	33184	78548
297	33282	78403
298	33387	78276
299	33510	78190
300	33628	78093
301	33753	78013
302	33868	77909
303	33959	77748
304	34053	77597
305	34171	77500
306	34271	77361
307	34365	77211
308	34476	77097
309	34720	77280
310	34819	77139
311	34935	77037
312	35142	77132
313	35276	77068
314	35362	76899
315	35454	76742
316	35546	76586
317	35832	76849
318	36096	77059
319	36209	76944
320	36344	76877
321	36447	76743
322	36580	76672
323	36705	76583
324	36817	76467
325	36913	76318
326	37017	76185
327	37109	76029
328	37206	75882
329	37297	75724
330	37385	75562
331	37482	75416
332	37559	75232
333	37623	75021
334	37710	74858
335	37903	74903
336	38082	74921
337	38244	74905
338	38352	74782
339	38488	74712
340	38731	74849
341	38959	74957
342	39160	75010
343	39346	75033
344	39447	74892
345	39704	75048
346	39839	74971
347	39994	74931
348	40180	74950
349	40345	74927
350	40513	74909
351	40737	74993
352	41077	75288
353	41265	75303
354	41470	75347
355	41730	75490
356	41914	75492
357	42059	75424
358	42215	75376
359	42302	75203
360	42395	75043
361	42546	74984
362	42686	74907
363	42786	74758
364	42839	74529
365	42896	74307
366	42965	74106
367	43176	74150
368	43302	74048
369	43477	74028
370	43715	74116
371	43873	74066
372	43996	73957
373	44214	74006
374	44404	74007
375	44695	74175
376	44803	74038
377	44904	73890
378	45062	73835
379	45182	73719
380	45379	73726
381	45500	73610
382	45675	73581
383	45769	73422
384	45868	73270
385	46077	73294
386	46280	73307
387	46441	73252
388	46538	73098
389	46658	72978
390	46859	72985
391	47135	73107
392	47329	73101
393	47547	73132
394	47983	73494
395	48123	73399
396	48356	73448
397	48634	73563
398	48817	73532
399	48969	73454
400	49057	73279
401	49151	73116
402	49288	73015
403	49406	72886
404	49510	72738
405	49639	72625
406	49747	72482
407	49854	72337
408	49964	72197
409	50140	72152
410	50243	72003
411	50339	71843
412	50468	71731
413	50579	71593
414	50685	71448
415	50787	71297
416	50906	71170
417	51005	71016
418	51097	70853
419	51201	70707
420	51316	70576
421	51422	70431
422	51519	70275
423	51647	70161
424	51768	70040
425	51876	69899
426	51974	69745
427	52067	69585
428	52166	69434
429	52255	69268
430	52348	69109
431	52455	68969
432	52567	68835
433	52688	68713
434	52769	68539
435	52852	68368
436	52950	68217
437	53048	68066
438	53145	67914
439	53233	67752
440	53324	67593
441	53413	67431
442	53517	67289
443	53637	67167
444	53737	67020
445	53829	66863
446	53928	66717
447	54027	66569
448	54119	66413
449	54211	66258
450	54312	66114
451	54403	65958
452	54508	65819
453	54694	65778
454	54796	65635
455	54900	65495
456	54995	65344
457	55078	65180
458	55139	64990
459	55229	64834
460	55323	64683
461	55413	64529
462	55503	64374
463	55611	64241
464	55742	64133
465	55835	63983
466	55941	63847
467	56048	63713
468	56155	63578
469	56222	63399
470	56319	63255
471	56417	63110
472	56506	62957
473	56638	62851
474	56739	62711
475	56842	62574
476	56940	62431
477	57072	62325
478	57305	62330
479	57442	62229
480	57565	62112
481	57888	62212
482	58126	62218
483	58300	62155
484	58450	62066
485	59414	62837
486	59523	62701
487	59653	62587
488	60215	62924
489	60352	62815
490	60441	62657
491	60535	62503
492	60731	62456
493	60900	62379
494	61022	62255
495	61122	62108
496	61220	61959
497	61312	61804
498	61403	61649
499	61498	61498
500	61713	61467
501	61893	61400
502	62015	61275
503	62133	61146
504	62356	61122
505	62627	61142
506	62758	61025
507	62843	60863
508	62949	60723
509	63055	60582
510	63175	60455
511	63289	60322
512	63401	60187
513	63532	60071
514	63652	59944
515	63743	59790
516	63839	59641
517	63931	59488
518	64048	59359
519	64147	59213
520	64243	59064
521	64338	58915
522	64445	58777
523	64570	58655
524	64663	58504
525	64782	58378
526	64913	58262
527	65022	58126
528	65084	57948
529	65178	57799
530	65291	57667
531	65382	57517
532	65505	57393
533	65611	57256
534	65726	57127
535	65819	56977
536	65910	56827
537	66020	56693
538	66141	56570
539	66281	56461
540	66377	56316
541	66472	56170
542	66618	56067
543	66710	55918
544	66818	55784
545	66907	55633
546	67011	55496
547	67104	55348
548	67193	55199
549	67285	55051
550	67382	54908
551	67439	54733
552	67550	54602
553	67651	54463
554	67765	54334
555	67867	54196
556	67970	54059
557	68145	53978
558	68244	53838
559	68359	53711
560	68503	53606
561	68652	53504
562	68760	53371
563	68884	53251
564	69025	53143
565	69131	53008
566	69393	52993
567	69584	52923
568	69756	52838
569	69819	52670
570	69960	52562
571	70059	52422
572	70160	52283
573	70254	52140
574	70437	52062
575	70772	52096
576	70943	52008
577	71080	51896
578	71187	51761
579	71409	51710
580	71964	51898
581	72179	51840
582	72352	51751
583	72483	51632
584	72611	51511
585	72701	51362
586	72797	51218
587	72903	51081
588	72999	50938
589	73117	50810
590	73220	50671
591	73326	50535
592	73463	50420
593	73599	50305
594	73723	50181
595	73843	50054
596	74022	49968
597	74213	49889
598	74319	49753
599	74418	49612
600	74784	49648
601	74930	49538
602	75043	49406
603	75185	49293
604	75380	49215
605	75533	49109
606	75641	48973
607	75750	48839
608	75839	48691
609	75928	48544
610	76023	48401
611	76140	48272
612	76243	48134
613	76393	48026
614	76528	47908
615	76703	47814
616	76918	47746
617	77130	47676
618	77251	47548
619	77321	47390
620	77419	47249
621	77555	47131
622	77646	46986
623	77749	46849
624	77875	46725
625	77970	46583
626	78060	46437
627	78245	46349
628	78373	46226
629	78512	46110
630	78629	45981
631	78776	45870
632	78920	45756
633	79258	45755
634	79578	45741
635	79774	45657
636	79907	45535
637	80040	45414
638	80193	45304
639	80380	45213
640	80560	45118
641	80701	45001
642	80968	44954
643	81104	44834
644	81234	44710
645	81362	44585
646	81548	44492
647	81858	44466
648	82062	44381
649	82189	44256
650	82290	44115
651	82353	43955
652	82490	43834
653	82597	43698
654	82703	43561
655	82830	43435
656	82945	43303
657	83068	43175
658	83172	43037
659	83274	42898
660	83387	42766
661	83518	42642
662	83604	42495
663	83701	42355
664	83788	42209
665	83915	42083
666	84036	41955
667	84371	41933
668	84543	41829
669	84637	41687
670	84776	41566
671	84847	41413
672	84904	41253
673	84975	41101
674	85064	40957
675	85196	40833
676	85285	40690
677	85381	40549
678	85521	40430
679	85620	40291
680	85734	40160
681	85836	40023
682	85929	39882
683	86017	39738
684	86127	39605
685	86234	39471
686	86334	39334
687	86461	39209
688	86564	39073
689	86667	38937
690	86759	38797
691	86874	38666
692	86963	38524
693	87054	38384
694	87142	38242
695	87227	38099
696	87296	37949
697	87420	37823
698	87584	37715
699	87698	37585
700	87792	37446
701	87948	37334
702	88045	37197
703	88165	37069
704	88332	36961
705	88511	36858
706	88728	36771
707	88827	36635
708	88923	36497
709	89013	36357
710	89105	36218
711	89238	36096
712	89470	36014
713	89637	35905
714	89702	35755
715	89795	35617
716	90107	35565
717	90235	35440
718	90325	35301
719	90448	35174
720	90553	35040
721	90664	34909
722	90775	34778
723	90870	34641
724	90963	34503
725	91074	34372
726	91162	34233
727	91259	34096
728	91346	33957
729	91469	33831
730	91658	33729
731	91769	33598
732	91901	33475
733	91995	33338
734	92050	33188
735	92105	33037
736	92162	32888
737	92224	32740
738	92279	32591
739	92336	32442
740	92399	32296
741	92502	32164
742	92599	32029
743	92699	31896
744	92793	31761
745	92900	31631
746	93000	31498
747	93094	31363
748	93191	31229
749	93288	31096
750	93416	30972
751	93621	30875
752	93773	30759
753	93892	30633
754	93988	30499
755	94089	30367
756	94193	30236
757	94285	30101
758	94381	29968
759	94488	29838
760	94598	29709
761	94690	29575
762	94762	29434
763	94854	29300
764	94947	29166
765	95044	29034
766	95156	28906
767	95250	28773
768	95343	28640
769	95490	28523
770	95584	28390
771	95689	28260
772	95789	28129
773	95881	27996
774	95999	27870
775	96096	27739
776	96191	27607
777	96288	27475
778	96381	27343
779	96526	27225
780	96641	27099
781	96730	26965
782	96820	26832
783	96914	26700
784	96999	26566
785	97066	26427
786	97155	26294
787	97245	26162
788	97339	26031
789	97435	25900
790	97548	25774
791	97648	25645
792	97746	25515
793	97841	25384
794	97930	25252
795	98021	25121
796	98111	24989
797	98202	24858
798	98292	24726
799	98395	24598
800	98606	24497
801	98809	24394
802	98902	24263
803	98991	24132
804	99130	24012
805	99239	23886
806	99345	23759
807	99417	23624
808	99526	23497
809	99636	23371
810	99725	23240
811	99816	23110
812	99907	22979
813	99996	22849
814	100096	22721
815	100265	22608
816	100433	22496
817	100585	22379
818	100701	22255
819	100794	22125
820	100894	21997
821	101032	21878
822	101233	21772
823	101439	21666
824	101833	21600
825	101968	21479
826	102120	21362
827	102257	21241
828	102377	21117
829	102486	20991
830	102597	20865
831	102700	20737
832	102803	20610
833	102902	20481
834	103029	20359
835	103121	20229
836	103228	20103
837	103677	20042
838	103897	19937
839	104175	19842
840	104374	19733
841	104572	19622
842	104677	19495
843	104775	19366
844	104898	19241
845	105007	19114
846	105099	18984
847	105196	18856
848	105292	18726
849	105383	18597
850	105483	18468
851	105599	18343
852	105706	18216
853	105797	18087
854	105888	17957
855	105985	17829
856	106079	17700
857	106172	17571
858	106268	17443
859	106359	17314
860	106469	17188
861	106575	17061
862	106661	16932
863	106734	16800
864	106822	16671
865	106925	16545
866	107019	16417
867	107154	16295
868	107252	16168
869	107349	16040
870	107520	15924
871	107618	15797
872	107736	15673
873	107832	15545
874	107921	15417
875	108008	15288
876	108103	15161
877	108206	15035
878	108322	14911
879	108416	14784
880	108545	14661
881	108648	14535
882	108747	14409
883	108843	14282
884	108934	14155
885	109008	14025
886	109063	13894
887	109122	13763
888	109210	13635
889	109302	13509
890	109397	13383
891	109547	13263
892	109692	13143
893	109809	13019
894	109904	12893
895	109995	12767
896	110093	12641
897	110188	12515
898	110288	12390
899	110385	12265
900	110592	12151
901	110758	12033
902	110878	11910
903	110982	11785
904	111077	11660
905	111168	11534
906	111269	11409
907	111366	11283
908	111490	11161
909	111585	11035
910	111649	10907
911	111735	10781
912	111824	10655
913	111953	10533
914	112052	10409
915	112154	10284
916	112246	10159
917	112336	10034
918	112448	9911
919	112588	9790
920	112685	9665
921	112791	9542
922	112884	9417
923	112979	9292
924	113082	9168
925	113176	9044
926	113269	8919
927	113362	8795
928	113467	8671
929	113595	8550
930	113765	8431
931	113869	8308
932	113969	8184
933	114152	8066
934	114285	7944
935	114342	7818
936	114430	7693
937	114542	7571
938	114644	7447
939	114759	7325
940	114858	7201
941	114967	7078
942	115071	6955
943	115176	6832
944	115277	6709
945	115371	6585
946	115495	6463
947	115594	6340
948	115690	6217
949	115787	6094
950	115873	5970
951	116005	5848
952	116117	5726
953	116223	5604
954	116319	5481
955	116415	5358
956	116614	5239
957	116788	5120
958	116884	4997
959	116980	4874
960	117081	4751
961	117202	4629
962	117269	4505
963	117354	4382
964	117488	4261
965	117586	4138
966	117687	4016
967	117796	3894
968	117900	3771
969	118001	3649
970	118110	3527
971	118209	3405
972	118303	3282
973	118399	3160
974	118503	3038
975	118626	2917
976	118729	2795
977	118828	2673
978	118915	2550
979	119029	2429
980	119134	2307
981	119238	2185
982	119331	2063
983	119432	1941
984	119581	1821
985	119655	1698
986	119745	1577
987	119847	1455
988	119949	1334
989	120062	1212
990	120162	1091
991	120265	969
992	120358	848
993	120520	727
994	120625	606
995	120732	484
996	120892	363
997	121048	242
998	121150	121
999	121252	0
121164	121
999	121262	0
